,Delivery Date,Quantity in L
0,2010-01,46100.84033613445
1,2010-02,36100.84033613445
2,2010-03,61142.85714285715
3,2010-04,26084.03361344538
4,2010-05,19966.38655462185
5,2010-06,36402.52100840336
6,2010-07,22386.55462184874
7,2010-08,45008.40336134454
8,2010-09,36403.361344537814
9,2010-10,50811.05882352941
10,2010-11,30067.226890756305
11,2010-12,51050.42016806724
12,2011-01,18317.949579831933
13,2011-02,24184.873949579836
14,2011-03,56050.420168067234
15,2011-04,64285.71428571429
16,2011-05,35966.38655462186
17,2011-06,70084.03361344538
18,2011-07,33949.57983193277
19,2011-08,56134.45378151261
20,2011-09,60336.13445378153
21,2011-10,42924.36974789917
22,2011-11,30084.033613445383
23,2011-12,44873.94957983193
24,2012-01,38218.48739495799
25,2012-02,37142.857142857145
26,2012-03,124336.13445378153
27,2012-04,60117.64705882354
28,2012-05,63127.73109243698
29,2012-06,108216.95798319331
30,2012-07,65058.82352941177
31,2012-08,43058.82352941177
32,2012-09,16016.806722689076
33,2012-10,88352.9411764706
34,2012-11,49109.24369747899
35,2012-12,41084.03361344538
36,2013-01,47579.831932773115
37,2013-02,85051.26050420168
38,2013-03,65218.48739495799
39,2013-04,60058.82352941177
40,2013-05,33117.64705882353
41,2013-06,6000.0
42,2013-07,61058.82352941177
43,2013-08,53176.4705882353
44,2013-09,28008.403361344543
45,2013-10,47974.789915966394
46,2013-11,28966.38655462185
47,2013-12,25126.050420168067
48,2014-01,18084.03361344538
49,2014-02,24016.806722689078
50,2014-03,47025.21008403362
51,2014-04,57042.01680672269
52,2014-05,33050.42016806723
53,2014-06,32050.42016806723
54,2014-07,30016.806722689078
55,2014-08,21966.806722689078
56,2014-09,37050.42016806723
57,2014-10,38050.42016806723
58,2014-11,50966.38655462185
59,2014-12,59092.43697478992
60,2015-01,55932.7731092437
61,2015-02,20000.0
62,2015-03,5000.0
63,2015-04,14075.630252100842
64,2015-05,17075.63025210084
65,2015-06,48050.42016806723
66,2015-07,59050.420168067234
67,2015-08,40168.06722689076
68,2015-09,22000.0
69,2015-10,38000.0
70,2015-11,20000.0
71,2015-12,23000.0
72,2016-01,22000.0
73,2016-02,23000.0
74,2016-03,13025.210084033613
75,2016-04,4016.8067226890757
76,2016-05,3008.403361344538
77,2016-06,22000.0
78,2016-07,6025.210084033613
79,2016-09,3000.0
80,2016-10,3016.8067226890757
81,2016-11,2008.4033613445379
82,2016-12,5000.0
83,2017-01,20000.0
84,2017-02,6000.0
85,2017-04,3000.0
86,2017-05,24008.40336134454
87,2017-06,3000.0
88,2017-07,2000.0
89,2017-08,4000.0
90,2017-09,5016.806722689076
91,2017-10,3008.403361344538
92,2017-11,6000.0
93,2017-12,3008.403361344538
94,2018-01,10008.403361344537
95,2018-02,3008.403361344538
96,2018-03,6016.806722689076
97,2018-04,4008.403361344538
98,2018-05,3016.8067226890757
99,2018-06,6042.01680672269
100,2018-07,5042.01680672269
101,2018-08,3016.8067226890757
102,2018-09,2000.0
103,2018-10,6033.613445378152
104,2018-11,3008.403361344538
105,2018-12,4016.8067226890757
106,2019-01,2008.4033613445379
107,2019-02,2008.4033613445379
108,2019-03,1000.0
109,2019-04,3008.403361344538
110,2019-05,2000.0
111,2019-06,6008.403361344538
112,2019-07,3000.0
113,2019-08,4000.0
114,2019-09,1000.0
115,2019-10,7033.6134453781515
116,2019-11,21151.260504201684
117,2019-12,1000.0
118,2020-01,4008.403361344538
119,2020-02,3000.0
120,2020-03,5008.403361344538
121,2020-04,19151.260504201684
122,2020-05,3000.0
123,2020-06,4008.403361344538
124,2020-07,2000.0
125,2020-08,8042.01680672269
126,2020-09,2008.4033613445379
127,2020-10,1000.0
128,2020-11,3000.0
129,2020-12,5008.403361344538
130,2021-02,8050.420168067228
131,2021-03,8008.403361344538
