Delivery Date,Quantity in L
9-Nov,1100
9-Dec,29086
10-Jan,12607174.84
10-Feb,17669239.52
10-Mar,19879116.68
10-Apr,14894080.1
10-May,14516461.57
10-Jun,12090179.13
10-Jul,12343447.2
10-Aug,12490529.54
10-Sep,14349723.76
10-Oct,14322298
10-Nov,19901759.75
10-Dec,23094709.96
11-Jan,24171555.15
11-Feb,23217655.49
11-Mar,21070345.03
11-Apr,18688260.93
11-May,15671619.07
11-Jun,16749881.21
11-Jul,17131195.68
11-Aug,18283636.84
11-Sep,20858885.18
11-Oct,19561487.03
11-Nov,23009693.7
11-Dec,34404805.02
12-Jan,22976768.74
12-Feb,23568962.94
12-Mar,22497079.57
12-Apr,19511003.2
12-May,18133679.84
12-Jun,15899799.59
12-Jul,14958227.08
12-Aug,14770756.11
12-Sep,16126264.51
12-Oct,21091787.76
12-Nov,22020950.21
12-Dec,22647085.01
13-Jan,25250446.91
13-Feb,21482195.38
13-Mar,19166121.44
13-Apr,17521057.08
13-May,19153754.2
13-Jun,11200339.11
13-Jul,14575013.11
13-Aug,15674657.73
13-Sep,15100828.83
13-Oct,20611371.45
13-Nov,20829106.09
13-Dec,18976259.49
14-Jan,22349358.88
14-Feb,18328415.02
14-Mar,17136641.64
14-Apr,15994258.01
14-May,15215145.11
14-Jun,13461524.89
14-Jul,14637140.9
14-Aug,14322073.19
14-Sep,15162438.76
14-Oct,18426100.24
14-Nov,18801612.37
14-Dec,21617268.52
15-Jan,19615857.8
15-Feb,19107679.38
15-Mar,19716559.51
15-Apr,16832107.99
15-May,15612949.68
15-Jun,14335229.65
15-Jul,13099567
15-Aug,12797586.34
15-Sep,14945525.61
15-Oct,16621726.95
15-Nov,14976747.55
15-Dec,18659639.3
16-Jan,16207841.91
16-Feb,15538462.21
16-Mar,16158522.15
16-Apr,12952191.84
16-May,12853396.3
16-Jun,10143551.86
16-Jul,10785050.04
16-Aug,11777187.02
16-Sep,12578165.92
16-Oct,14212505.94
16-Nov,16997154.21
16-Dec,18883545.76
17-Jan,19475472.02
17-Feb,17641955
17-Mar,18204515.09
17-Apr,13112395.37
17-May,13739210.76
17-Jun,12010447.8
17-Jul,10377127.42
17-Aug,12431245.53
17-Sep,12743150.35
17-Oct,14847153.41
17-Nov,16624605.58
17-Dec,17760654.59
18-Jan,18904393.87
18-Feb,18060896.12
18-Mar,16269417.04
18-Apr,13696152.45
18-May,13484367.27
18-Jun,10666364.36
18-Jul,11263615.55
18-Aug,12126278.5
18-Sep,12608848.95
18-Oct,15236977.49
18-Nov,16192695.26
18-Dec,16631559.96
19-Jan,19206281.94
19-Feb,16853324.56
19-Mar,15498186.27
19-Apr,13235055.94
19-May,16589322.67
19-Jun,10353433.45
19-Jul,11595520.16
19-Aug,12159886.11
19-Sep,12627050.57
19-Oct,15806635.67
19-Nov,16121034.73
19-Dec,18492971.6
20-Jan,19889089.9
20-Feb,15752365.1
20-Mar,16898880.14
20-Apr,13948377.86
20-May,10404600.1
20-Jun,9630987.013
20-Jul,11579550.13
20-Aug,11974596.06
20-Sep,13406662.55
20-Oct,13572472.71
20-Nov,14947609.42
20-Dec,18471495.97
21-Jan,15975704.84
21-Feb,14577376.13
21-Mar,16182083.67
21-Apr,8912430.59
21-May,838912.2137
21-Jun,127100
21-Jul,4000
21-Sep,1000
