Delivery Date,Quantity in L
2010-01,4662129.77099236
2010-02,6914690.076335868
2010-03,8487764.122137394
2010-04,6682389.312977091
2010-05,7258438.931297704
2010-06,5938849.618320605
2010-07,6781541.984732819
2010-08,5878494.659488546
2010-09,7019709.923664113
2010-10,5113698.473282436
2010-11,7496385.496183199
2010-12,8954159.541984722
2011-01,11038450.381679377
2011-02,9193904.175572509
2011-03,8763845.038167931
2011-04,9343141.984732814
2011-05,6934210.687022895
2011-06,9403251.908396939
2011-07,9632263.358778622
2011-08,9708051.908396939
2011-09,11044051.908396937
2011-10,9575105.343511445
2011-11,10246990.076335868
2011-12,10529383.206106862
2012-01,9921913.740458004
2012-02,10762907.633587776
2012-03,10478532.82442747
2012-04,9644016.793893121
2012-05,8992376.335877853
2012-06,8966793.893129766
2012-07,7864217.557251904
2012-08,6852894.656488545
2012-09,7221003.81679389
2012-10,9947419.847328236
2012-11,9967274.809160298
2012-12,8906367.938931292
2013-01,10820318.320610678
2013-02,8552493.893129762
2013-03,7379453.839694647
2013-04,6564329.770992356
2013-05,9309698.473282436
2013-06,4499263.358778625
2013-07,6617680.152671747
2013-08,7892541.984732818
2013-09,5463213.74045801
2013-10,8721095.419847323
2013-11,8842370.229007624
2013-12,6828412.2137404485
2014-01,8855923.664122127
2014-02,7019022.900763345
2014-03,6287114.503816787
2014-04,6989210.687022895
2014-05,6743980.916030532
2014-06,6495610.687022897
2014-07,7309706.106870226
2014-08,6830499.999999997
2014-09,7219770.992366411
2014-10,7745667.938931288
2014-11,8385641.22137404
2014-12,9157514.503816782
2015-01,7610263.358778618
2015-02,8501339.694656475
2015-03,9420622.90076335
2015-04,8051280.916030526
2015-05,8247927.480916026
2015-06,7868161.305343505
2015-07,6626635.587786256
2015-08,6175213.740458013
2015-09,6873664.122137401
2015-10,6597512.213740453
2015-11,5338194.6564885415
2015-12,6231118.320610671
2016-01,6031618.320610677
2016-02,4580061.832061063
2016-03,5090751.908396937
2016-04,4613748.091603046
2016-05,4992992.366412208
2016-06,3527511.4503816785
2016-07,4350015.26717557
2016-08,4240190.839694651
2016-09,4388452.67175572
2016-10,5188309.160305337
2016-11,5914516.030534344
2016-12,6826942.748091595
2017-01,7266824.427480903
2017-02,6367598.473282439
2017-03,7290782.442748078
2017-04,4914376.335877859
2017-05,5262502.290076328
2017-06,4997522.900763355
2017-07,3957641.2213740423
2017-08,4835091.60305343
2017-09,4916147.328244269
2017-10,5390839.694656479
2017-11,6777935.11450381
2017-12,6679698.473282435
2018-01,7222977.09923663
2018-02,7714716.030534342
2018-03,6747538.931297707
2018-04,5458095.419847327
2018-05,5473222.13740458
2018-06,4076794.732824426
2018-07,4671820.450381678
2018-08,4483717.557251906
2018-09,5285839.694656484
2018-10,5684832.061068696
2018-11,5585903.816793885
2018-12,6059316.793893128
2019-01,6692861.068702282
2019-02,5924792.366412209
2019-03,5724416.0305343475
2019-04,4563122.137404579
2019-05,4707778.625954195
2019-06,4051477.8625954175
2019-07,4305525.190839694
2019-08,4746009.160305342
2019-09,4264522.900763355
2019-10,5184129.770992362
2019-11,5236038.9312977055
2019-12,6568829.007633581
2020-01,7633390.839694646
2020-02,4245803.0534351105
2020-03,4725360.305343509
2020-04,4915286.259541981
2020-05,3276193.129770991
2020-06,2869438.16793893
2020-07,3924786.259541982
2020-08,4228689.312977096
2020-09,4748745.801526716
2020-10,4188376.33587786
2020-11,5091296.183206105
2020-12,6351625.19083969
2021-01,5487423.664122132
2021-02,4805699.236641218
2021-03,5647164.1221374
2021-04,3087969.4656488537
2021-05,366412.213740458
