,date,Ixom,Grenof,Calix,isPartial,sos
0,2015-03-01,52,0,0,False,1.0
1,2015-04-01,47,0,0,False,1.0
2,2015-05-01,0,42,0,False,0.0
3,2015-06-01,0,0,0,False,0.0
4,2015-07-01,61,0,18,False,0.7721518987341772
5,2015-08-01,37,0,0,False,1.0
6,2015-09-01,0,0,0,False,0.0
7,2015-10-01,50,0,0,False,1.0
8,2015-11-01,28,0,0,False,1.0
9,2015-12-01,0,0,0,False,0.0
10,2016-01-01,0,0,0,False,0.0
11,2016-02-01,0,0,36,False,0.0
12,2016-03-01,34,0,0,False,1.0
13,2016-04-01,43,0,0,False,1.0
14,2016-05-01,66,0,0,False,1.0
15,2016-06-01,0,0,35,False,0.0
16,2016-07-01,0,0,39,False,0.0
17,2016-08-01,50,0,0,False,1.0
18,2016-09-01,44,0,0,False,1.0
19,2016-10-01,34,0,0,False,1.0
20,2016-11-01,0,60,0,False,0.0
21,2016-12-01,73,0,0,False,1.0
22,2017-01-01,0,0,0,False,0.0
23,2017-02-01,64,0,0,False,1.0
24,2017-03-01,46,19,0,False,0.7076923076923077
25,2017-04-01,21,0,0,False,1.0
26,2017-05-01,46,0,0,False,1.0
27,2017-06-01,34,0,0,False,1.0
28,2017-07-01,0,0,0,False,0.0
29,2017-08-01,42,0,0,False,1.0
30,2017-09-01,0,0,0,False,0.0
31,2017-10-01,47,30,32,False,0.43119266055045874
32,2017-11-01,26,0,0,False,1.0
33,2017-12-01,43,0,0,False,1.0
34,2018-01-01,57,0,0,False,1.0
35,2018-02-01,73,0,0,False,1.0
36,2018-03-01,25,0,0,False,1.0
37,2018-04-01,0,38,0,False,0.0
38,2018-05-01,26,0,0,False,1.0
39,2018-06-01,35,0,0,False,1.0
40,2018-07-01,30,0,52,False,0.36585365853658536
41,2018-08-01,31,0,34,False,0.47692307692307695
42,2018-09-01,32,0,30,False,0.5161290322580645
43,2018-10-01,100,0,0,False,1.0
44,2018-11-01,40,0,0,False,1.0
45,2018-12-01,42,0,0,False,1.0
46,2019-01-01,28,23,0,False,0.5490196078431373
47,2019-02-01,64,0,0,False,1.0
48,2019-03-01,50,0,51,False,0.49504950495049505
49,2019-04-01,31,0,0,False,1.0
50,2019-05-01,0,0,0,False,0.0
51,2019-06-01,30,0,0,False,1.0
52,2019-07-01,0,0,21,False,0.0
53,2019-08-01,0,15,0,False,0.0
54,2019-09-01,60,0,0,False,1.0
55,2019-10-01,45,20,23,False,0.5113636363636364
56,2019-11-01,0,0,15,False,0.0
57,2019-12-01,0,0,0,False,0.0
58,2020-01-01,0,0,23,False,0.0
59,2020-02-01,50,0,18,False,0.7352941176470589
60,2020-03-01,0,14,0,False,0.0
61,2020-04-01,26,0,0,False,1.0
62,2020-05-01,0,0,0,False,0.0
63,2020-06-01,32,0,15,False,0.6808510638297872
64,2020-07-01,22,0,23,False,0.4888888888888889
65,2020-08-01,16,29,0,False,0.35555555555555557
66,2020-09-01,38,0,0,False,1.0
67,2020-10-01,0,0,48,False,0.0
68,2020-11-01,0,0,0,False,0.0
69,2020-12-01,46,0,0,False,1.0
70,2021-01-01,0,25,49,False,0.0
71,2021-02-01,35,0,43,False,0.44871794871794873
72,2021-03-01,40,0,0,False,1.0
73,2021-04-01,24,0,0,False,1.0
74,2021-05-01,42,0,63,False,0.4
75,2021-06-01,37,0,42,False,0.46835443037974683
76,2021-07-01,33,20,48,False,0.32673267326732675
77,2021-08-01,0,0,24,False,0.0
78,2021-09-01,37,18,34,False,0.4157303370786517
79,2021-10-01,0,0,81,False,0.0
80,2021-11-01,0,0,93,False,0.0
81,2021-12-01,0,0,40,False,0.0
82,2022-01-01,25,0,46,False,0.352112676056338
83,2022-02-01,93,0,17,False,0.8454545454545455
84,2022-03-01,37,0,42,False,0.46835443037974683
