,date,Ixom,Coogee Chemicals,Omega Chemicals,isPartial,sos
0,2015-03-01,49,0,19,False,0.7205882352941176
1,2015-04-01,44,0,0,False,1.0
2,2015-05-01,0,0,0,False,0.0
3,2015-06-01,0,26,0,False,0.0
4,2015-07-01,57,27,0,False,0.6785714285714286
5,2015-08-01,35,44,24,False,0.33980582524271846
6,2015-09-01,0,59,30,False,0.0
7,2015-10-01,47,48,19,False,0.41228070175438597
8,2015-11-01,27,32,0,False,0.4576271186440678
9,2015-12-01,0,0,0,False,0.0
10,2016-01-01,0,0,0,False,0.0
11,2016-02-01,0,18,48,False,0.0
12,2016-03-01,32,96,0,False,0.25
13,2016-04-01,40,37,26,False,0.3883495145631068
14,2016-05-01,62,37,0,False,0.6262626262626263
15,2016-06-01,0,56,0,False,0.0
16,2016-07-01,0,0,0,False,0.0
17,2016-08-01,47,0,0,False,1.0
18,2016-09-01,42,18,0,False,0.7
19,2016-10-01,32,0,0,False,1.0
20,2016-11-01,0,19,0,False,0.0
21,2016-12-01,68,0,0,False,1.0
22,2017-01-01,0,0,0,False,0.0
23,2017-02-01,60,0,26,False,0.6976744186046512
24,2017-03-01,43,0,0,False,1.0
25,2017-04-01,20,32,17,False,0.2898550724637681
26,2017-05-01,43,0,0,False,1.0
27,2017-06-01,32,0,0,False,1.0
28,2017-07-01,0,0,0,False,0.0
29,2017-08-01,40,22,0,False,0.6451612903225806
30,2017-09-01,0,18,0,False,0.0
31,2017-10-01,44,0,78,False,0.36065573770491804
32,2017-11-01,24,0,0,False,1.0
33,2017-12-01,40,0,100,False,0.2857142857142857
34,2018-01-01,54,19,18,False,0.5934065934065934
35,2018-02-01,69,35,0,False,0.6634615384615384
36,2018-03-01,24,38,0,False,0.3870967741935484
37,2018-04-01,0,23,0,False,0.0
38,2018-05-01,24,0,0,False,1.0
39,2018-06-01,33,0,0,False,1.0
40,2018-07-01,28,0,19,False,0.5957446808510638
41,2018-08-01,29,0,0,False,1.0
42,2018-09-01,31,22,0,False,0.5849056603773585
43,2018-10-01,94,21,0,False,0.8173913043478261
44,2018-11-01,38,0,0,False,1.0
45,2018-12-01,39,22,0,False,0.639344262295082
46,2019-01-01,27,36,0,False,0.42857142857142855
47,2019-02-01,60,66,0,False,0.47619047619047616
48,2019-03-01,47,15,75,False,0.34306569343065696
49,2019-04-01,29,40,0,False,0.42028985507246375
50,2019-05-01,0,19,18,False,0.0
51,2019-06-01,28,0,59,False,0.3218390804597701
52,2019-07-01,0,31,19,False,0.0
53,2019-08-01,0,0,33,False,0.0
54,2019-09-01,57,34,0,False,0.6263736263736264
55,2019-10-01,42,18,0,False,0.7
56,2019-11-01,0,28,0,False,0.0
57,2019-12-01,0,42,0,False,0.0
58,2020-01-01,0,42,0,False,0.0
59,2020-02-01,47,35,0,False,0.573170731707317
60,2020-03-01,0,0,16,False,0.0
61,2020-04-01,25,14,0,False,0.6410256410256411
62,2020-05-01,0,58,0,False,0.0
63,2020-06-01,30,0,37,False,0.44776119402985076
64,2020-07-01,21,0,0,False,1.0
65,2020-08-01,15,22,0,False,0.40540540540540543
66,2020-09-01,36,0,41,False,0.4675324675324675
67,2020-10-01,0,0,0,False,0.0
68,2020-11-01,0,0,0,False,0.0
69,2020-12-01,43,19,33,False,0.45263157894736844
70,2021-01-01,0,17,0,False,0.0
71,2021-02-01,33,34,0,False,0.4925373134328358
72,2021-03-01,38,34,0,False,0.5277777777777778
73,2021-04-01,23,25,0,False,0.4791666666666667
74,2021-05-01,40,0,0,False,1.0
75,2021-06-01,35,21,0,False,0.625
76,2021-07-01,31,0,17,False,0.6458333333333334
77,2021-08-01,0,0,0,False,0.0
78,2021-09-01,35,0,0,False,1.0
79,2021-10-01,0,26,0,False,0.0
80,2021-11-01,0,17,50,False,0.0
81,2021-12-01,0,0,18,False,0.0
82,2022-01-01,23,34,22,False,0.2911392405063291
83,2022-02-01,88,0,41,False,0.6821705426356589
84,2022-03-01,35,0,0,False,1.0
